,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
371,841406,431131,1,34.0,33.0,6.0,1347,1168,17817,PREMIUM,8 Day/s,870,18,870,133,1347,BIHAR,26.2269722,84.3564167,0,0,True,MAHARASHTRA,19.119579,76.186344,1,0,True
372,841406,431131,1,34.0,33.0,6.0,1347,344,19899,PREMIUM,8 Day/s,870,18,870,133,1347,BIHAR,26.2269722,84.3564167,0,0,True,MAHARASHTRA,19.119579,76.186344,1,0,True
373,403509,209825,1,33.7,32.2,10.0,2170,1937,18885,PREMIUM,3 Day/s,1360,18,1360,207,2171,GOA,44.436736100000005,44.7987361,0,0,True,UTTARPRADESH,26.4872405,80.696935,0,0,True
374,190001,209825,1,10.16,10.16,3.81,70,638,5006,PREMIUM,3 Day/s,435,18,435,66,638,JAMMUANDKASHMIR,34.0738611,74.8150972,0,1,False,UTTARPRADESH,26.4872405,80.696935,0,0,True
375,403509,614207,1,41.7,35.9,36.9,11048,14635,15274,PREMIUM,5 Day/s,3075,18,3075,469,14635,GOA,44.436736100000005,44.7987361,0,0,True,TAMILNADU,10.9173471,79.244726,1,0,True
376,181221,614207,1,17.7,10.1,10.1,361,938,13605,PREMIUM,6 Day/s,625,18,625,95,938,JAMMUANDKASHMIR,32.796472,74.915333,0,1,False,TAMILNADU,10.9173471,79.244726,1,0,True
377,622515,614207,1,34.0,33.0,6.0,1347,1180,13717,PREMIUM,2 Day/s,390,18,390,59,1347,TAMILNADU,10.645,78.72706945,1,0,True,TAMILNADU,10.9173471,79.244726,1,0,True
378,622515,614207,1,34.0,33.0,6.0,1347,691,4400,PREMIUM,2 Day/s,390,18,390,59,1347,TAMILNADU,10.645,78.72706945,1,0,True,TAMILNADU,10.9173471,79.244726,1,0,True
379,403509,611002,0,68.58,33.02,35.56,16105,12804,11804,PREMIUM,4 Day/s,3485,18,3485,532,16106,GOA,44.436736100000005,44.7987361,0,0,True,TAMILNADU,10.82,79.82499999999999,1,0,False
380,680511,611002,0,21.7,11.5,6.6,329,344,21411,PREMIUM,4 Day/s,305,19,305,49,344,KERALA,10.569954,76.08164099999999,0,0,True,TAMILNADU,10.82,79.82499999999999,1,0,False
381,413702,611002,1,17.7,10.1,10.1,361,846,7124,PREMIUM,3 Day/s,625,18,625,95,846,MAHARASHTRA,18.71,74.59658335,1,0,True,TAMILNADU,10.82,79.82499999999999,1,0,False
382,673306,611002,1,15.16,15.16,7.0,321,842,24015,PREMIUM,4 Day/s,435,19,435,69,842,KERALA,11.42,75.73,0,0,True,TAMILNADU,10.82,79.82499999999999,1,0,False
383,403509,516444,1,22.0,11.5,7.5,380,501,11065,PREMIUM,5 Day/s,435,18,435,66,501,GOA,44.436736100000005,44.7987361,0,0,True,ANDHRAPRADESH,14.74787745,78.2700892,0,0,True
384,272201,516444,1,36.7,30.0,28.9,6363,7302,12633,PREMIUM,6 Day/s,3810,18,3810,581,7302,UTTARPRADESH,27.271652,82.802114,0,0,True,ANDHRAPRADESH,14.74787745,78.2700892,0,0,True
385,403509,695099,1,34.0,33.0,35.0,7854,5240,14711,PREMIUM,3 Day/s,2255,18,2255,344,7854,GOA,44.436736100000005,44.7987361,0,0,True,KERALA,8.8307778,76.16325,0,0,True
386,403509,222180,1,41.7,35.9,36.9,11048,7489,10851,PREMIUM,5 Day/s,4620,18,4620,705,11049,GOA,44.436736100000005,44.7987361,0,0,True,UTTARPRADESH,26.36,82.50999999999999,0,0,True
387,403509,222180,1,41.7,35.9,36.9,11048,14641,18791,PREMIUM,5 Day/s,5775,18,5775,881,14641,GOA,44.436736100000005,44.7987361,0,0,True,UTTARPRADESH,26.36,82.50999999999999,0,0,True
388,571201,222180,1,33.0,25.0,35.0,5775,1455,6417,PREMIUM,5 Day/s,3075,18,3075,469,5775,KARNATAKA,12.4223611,75.730522,1,0,False,UTTARPRADESH,26.36,82.50999999999999,0,0,True
389,134003,326517,1,15.16,15.16,7.0,321,237,17502,PREMIUM,6 Day/s,305,18,305,47,322,HARYANA,30.38258335,76.77158335,0,0,False,RAJASTHAN,24.719625,76.09,0,0,True
390,134003,341001,0,15.16,15.16,7.0,321,183,9357,PREMIUM,4 Day/s,305,18,305,47,322,HARYANA,30.38258335,76.77158335,0,0,False,RAJASTHAN,27.2152,73.736,0,0,False
391,722151,341001,1,33.0,25.0,35.0,5775,2477,14457,PREMIUM,5 Day/s,3075,18,3075,469,5775,WESTBENGAL,22.9222489,87.0736565,1,0,True,RAJASTHAN,27.2152,73.736,0,0,False
392,722151,341001,1,33.0,25.0,35.0,5775,1781,3503,PREMIUM,5 Day/s,3075,18,3075,469,5775,WESTBENGAL,22.9222489,87.0736565,1,0,True,RAJASTHAN,27.2152,73.736,0,0,False
393,134003,516380,1,30.0,30.0,10.0,1800,1599,6474,PREMIUM,7 Day/s,1115,18,1115,170,1800,HARYANA,30.38258335,76.77158335,0,0,False,ANDHRAPRADESH,14.6877778,78.3933055,0,0,True
394,517505,516380,1,68.58,33.02,35.56,16105,17615,8926,PREMIUM,3 days,2430,18,2430,371,17615,ANDHRAPRADESH,13.60905,79.352623,0,0,True,ANDHRAPRADESH,14.6877778,78.3933055,0,0,True
395,229127,516380,1,17.7,10.1,10.1,361,64,19506,PREMIUM,6 Day/s,380,18,380,58,362,UTTARPRADESH,26.0274444,81.4239,0,0,True,ANDHRAPRADESH,14.6877778,78.3933055,0,0,True
396,229127,516380,1,17.7,10.1,10.1,361,689,3950,PREMIUM,6 Day/s,625,18,625,95,689,UTTARPRADESH,26.0274444,81.4239,0,0,True,ANDHRAPRADESH,14.6877778,78.3933055,0,0,True
397,134003,673572,1,68.58,33.02,35.56,16105,14900,10477,PREMIUM,2 Day/s,6545,18,6545,998,16106,HARYANA,30.38258335,76.77158335,0,0,False,KERALA,11.38,75.91499999999999,0,0,True
398,134003,799131,1,30.0,30.0,10.0,1800,1408,13037,PREMIUM,7 Day/s,1115,18,1115,170,1800,HARYANA,30.38258335,76.77158335,0,0,False,TRIPURA,23.055887335,82.681853445,0,1,True
