,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,min_price,eddDays,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
7859,600048,414402,0,68.58,33.02,35.56,16105,17925,15001,GROUND EXPRESS,5 - 6 Day/s,2250,18,2250,343,17925,2250,6,TAMILNADU,12.833,80.04050000000001,1,0,False,MAHARASHTRA,18.5,75.66,1,0,True
7860,400013,685612,1,22.0,11.5,7.5,380,32,9652,STD EXP-A,5 - 6 Day/s,190,18,190,29,380,190,6,MAHARASHTRA,18.9965,72.8256111,1,0,True,KERALA,10.073394,77.0601389,0,0,True
7861,400013,757086,1,48.1,40.4,38.9,15118,17604,21874,GROUND EXPRESS,6 - 7 Day/s,2250,18,2250,343,17604,2250,7,MAHARASHTRA,18.9965,72.8256111,1,0,True,ODISHA,22.186035,86.6709916,0,0,True
7862,713343,757086,1,30.0,30.0,10.0,1800,2206,3552,GROUND EXPRESS,4 - 5 Day/s,240,18,240,37,2206,240,5,WESTBENGAL,23.737031,86.8391389,1,0,False,ODISHA,22.186035,86.6709916,0,0,True
7863,361004,305801,0,68.58,33.02,35.56,16105,12259,3195,GROUND EXPRESS,8 - 9 Day/s,2125,18,2125,324,16953,2125,9,GUJARAT,22.45519445,70.0462222,0,0,False,RAJASTHAN,26.5866389,74.90115,0,0,False
7864,585221,788150,1,55.0,45.0,41.0,20295,14840,2537,GROUND EXPRESS,11 - 12 Day/s,3740,18,3740,571,21364,3740,12,KARNATAKA,16.57,77.255,1,0,True,ASSAM,24.76,92.59,0,1,True
7865,585221,851213,1,22.0,11.5,7.5,380,190,12237,STD EXP-A,7 - 8 Day/s,190,18,190,29,380,190,8,KARNATAKA,16.57,77.255,1,0,True,BIHAR,25.511152,86.476908,0,0,True
7866,731214,851213,1,22.0,11.5,7.5,380,368,1771,STD EXP-A,6 - 7 Day/s,120,18,120,18,380,120,7,WESTBENGAL,23.660956,87.53875,1,0,True,BIHAR,25.511152,86.476908,0,0,True
7867,440023,622503,0,41.7,35.9,36.9,11048,4381,21754,GROUND EXPRESS,4 - 5 Day/s,1500,18,1500,229,11630,1500,5,MAHARASHTRA,21.137651,78.841096,1,0,False,TAMILNADU,10.17,78.74,1,0,False
7868,622503,440023,0,41.7,35.9,36.9,11048,4381,21754,GROUND EXPRESS,6 - 7 Day/s,1500,18,1500,229,11630,1500,7,TAMILNADU,10.17,78.74,1,0,False,MAHARASHTRA,21.137651,78.841096,1,0,False
7869,560010,533003,0,55.0,45.0,41.0,20295,7241,21835,GROUND EXPRESS,3 - 4 Day/s,1760,18,1760,268,21364,1760,4,KARNATAKA,12.983037,77.554461,1,0,False,ANDHRAPRADESH,16.9690069,82.23855955,0,0,False
7870,521403,533003,1,22.0,11.5,7.5,380,918,22493,STD EXP-A,3 - 4 Day/s,150,18,150,23,918,150,4,ANDHRAPRADESH,16.99875,80.519911,0,0,True,ANDHRAPRADESH,16.9690069,82.23855955,0,0,False
7871,712501,560010,1,34.0,33.0,6.0,1347,1383,8232,STD EXP-A,3 - 4 Day/s,400,18,400,61,1383,400,4,WESTBENGAL,22.82,87.89,1,0,True,KARNATAKA,12.983037,77.554461,1,0,False
7872,533003,560010,0,55.0,45.0,41.0,20295,7241,21835,GROUND EXPRESS,3 - 4 Day/s,1760,18,1760,268,21364,1760,4,ANDHRAPRADESH,16.9690069,82.23855955,0,0,False,KARNATAKA,12.983037,77.554461,1,0,False
7873,845401,713406,1,17.7,10.1,10.1,361,848,15009,STD EXP-A,7 - 8 Day/s,180,18,180,27,848,180,8,BIHAR,26.6185,85.13756,0,0,False,WESTBENGAL,23.35,87.7,1,0,True
7874,274509,713406,1,55.0,45.0,41.0,20295,9379,19536,GROUND EXPRESS,9 - 10 Day/s,2750,18,2750,419,21364,2750,10,UTTARPRADESH,26.29,83.92,0,0,True,WESTBENGAL,23.35,87.7,1,0,True
7875,713406,845401,1,17.7,10.1,10.1,361,848,15009,STD EXP-A,6 - 7 Day/s,180,18,180,27,848,180,7,WESTBENGAL,23.35,87.7,1,0,True,BIHAR,26.6185,85.13756,0,0,False
7876,689544,636139,1,34.0,33.0,6.0,1347,986,9096,GROUND EXPRESS,3 - 4 Day/s,243,19,243,39,1418,243,4,KERALA,9.4061,76.683461,0,0,True,TAMILNADU,11.723673,78.3337917,1,0,True
7877,689544,624622,1,15.16,15.16,7.0,321,857,2743,STD EXP-A,4 - 5 Day/s,184,19,184,29,857,184,5,KERALA,9.4061,76.683461,0,0,True,TAMILNADU,10.415,77.875,1,0,True
7878,636139,689544,1,34.0,33.0,6.0,1347,986,9096,STD EXP-A,4 - 5 Day/s,240,18,240,37,1347,240,5,TAMILNADU,11.723673,78.3337917,1,0,True,KERALA,9.4061,76.683461,0,0,True
7879,624622,689544,1,15.16,15.16,7.0,321,857,2743,STD EXP-A,5 - 6 Day/s,180,18,180,27,857,180,6,TAMILNADU,10.415,77.875,1,0,True,KERALA,9.4061,76.683461,0,0,True
7880,533406,688014,1,22.86,15.24,7.62,530,1295,21491,STD EXP-A,4 - 5 Day/s,240,18,240,37,1295,240,5,ANDHRAPRADESH,17.29235,82.398675,0,0,False,KERALA,9.4571944,76.3346389,0,0,True
7881,688014,533406,1,22.86,15.24,7.62,530,1295,21491,GROUND EXPRESS,5 - 6 Day/s,243,19,243,39,1295,243,6,KERALA,9.4571944,76.3346389,0,0,True,ANDHRAPRADESH,17.29235,82.398675,0,0,False
