Pincode,Latitude
110001,28.6198611
110002,28.63391665
110003,28.5892639
110004,28.6210833
110005,28.6517917
110006,28.65343055
110007,28.6766111
110008,28.6453611
110009,28.702361099999997
110010,28.5956944
110011,28.610986099999998
110012,28.6368611
110013,28.589486100000002
110014,28.5814722
110015,28.6591944
110016,28.54590275
110017,28.53174045
110018,28.6430139
110019,28.54173615
110020,28.5521111
110021,28.58868055
110022,28.56297225
110023,28.5758333
110024,28.568611150000002
110025,28.5613611
110026,28.669625
110027,28.642708300000002
110028,28.6313205
110029,28.5685556
110030,28.5176111
110031,28.6628333
110032,28.6739166
110033,28.72744445
110034,28.6972778
110035,28.6754167
110036,28.7978055
110037,28.54
110038,28.51969445
110039,28.7996944
110040,28.8508055
110041,28.676359650000002
110042,28.7441111
110043,28.60412
110044,28.53
110045,28.596462
110046,28.6110556
110047,28.46988885
110048,28.5404722
110049,28.559785050000002
110051,28.6524861
110052,28.67975
110053,28.6871944
110054,28.697557
110055,28.6448889
110056,28.6827222
110057,28.56294445
110058,28.6241111
110059,28.6215
110060,28.6367222
110061,28.53655555
110062,28.52141665
110063,28.668712
110064,28.62486
110065,28.5593611
110066,28.5625556
110067,28.55075
110068,28.5012222
110069,28.6225833
110070,28.52
110071,28.560496
110072,28.644252350000002
110073,28.531999
110074,28.5073055
110075,28.580691
110076,28.53
110077,28.571529
110078,28.6102222
110080,28.5069028
110081,28.7349166
110082,28.77216665
110083,28.6937639
110084,28.7572222
110085,28.711855999999997
110086,28.7016111
110087,28.679745
110088,28.6933611
110089,28.73480555
110090,28.69225
110091,28.6143611
110092,28.6522222
110093,28.693680550000003
110094,28.69225
110095,28.6800139
110096,28.61777
110097,28.5249456
110099,28.720596
110110,28.7158
121001,28.3705
121002,28.406685600000003
121003,28.4513611
121004,28.313574
121005,28.38069445
121006,28.3691509
121007,28.3832778
121008,28.3917778
121009,28.4881111
121010,28.51061945
121012,28.3917778
121013,28.3917778
121014,28.4726
121015,28.3453
121101,28.37031
121102,28.14863535
121103,28.068147500000002
121105,28.0106915
121106,27.939486000000002
121107,27.9690278
122001,28.4610833
122002,28.466093
122003,28.4465007
122004,28.413887
122005,28.5056111
122006,28.4855613
122007,28.462
122008,28.462
122009,28.3408889
122010,28.466093
122011,28.462
122012,28.413887
122015,28.4973611
122016,28.4965833
122017,28.48461725
122018,28.462
122051,28.343123499999997
122052,28.342
122098,28.3913822
122101,28.3913822
122102,28.352169
122103,28.248459
122104,27.787343
122105,28.21313
122107,28.095943
122108,27.9204
122413,29.387631
122414,28.271733
122502,28.292981
122503,28.325728
122504,28.467015
122505,28.421592
122506,28.446796
122508,27.824681
123001,28.044064
123021,28.100932
123023,27.892541
123024,28.378752
123027,28.336368
123028,28.191762
123029,28.25814
123031,28.271019
123034,28.258604
123035,28.356184
123101,28.201261
123102,28.145891
123103,28.196945
123106,28.231413
123110,28.2335556
123301,28.359814
123302,28.399192
123303,28.409434
123401,28.202722
123411,28.295395
123412,28.097334
123501,28.069873
124001,28.886361100000002
124010,28.733255
124021,28.452977
124022,28.671593
124102,28.759966
124103,28.641146
124104,28.708541500000003
124105,28.597164
124106,28.735904
124107,28.671593
124108,28.735904
124109,28.506844
124111,28.735904
124112,28.576344
124113,28.605585
124141,28.8955833
124142,28.502149
124146,28.671593
124201,28.725367
124202,28.706291800000002
124303,28.681179
124401,28.725367
124404,28.634988
124406,28.735904
124411,28.452977
124412,28.6233655
124501,28.634988
124504,28.671593
124505,28.758589999999998
124506,28.708541500000003
124507,28.681179
124508,28.66795
124513,29.0100277
124514,28.735904
125001,29.16077775
125004,29.508192
125005,29.1323055
125006,29.1123472
125007,29.149429050000002
125011,29.2046285
125033,29.0977222
125037,28.9448611
125038,29.1898901
125039,29.2246111
125042,29.1086944
125044,29.1288333
125047,29.352225
125048,29.356295
125049,29.1594444
125050,29.508192
125051,29.6853055
125052,28.1817777
125053,29.378824
125054,29.5461388
125055,29.5347777
125056,29.5347778
125058,29.45030555
125060,29.5457222
125075,29.5275277
125076,29.5235833
125077,29.7654166
125078,29.6993611
125101,29.7802222
125102,29.4490833
125103,29.78325
125104,29.9591388
125106,29.6745555
125110,29.3710277
125111,29.2100833
125112,29.5743333
125113,29.5065833
125120,29.7208611
125121,29.356295
125133,29.8089722
125201,29.82675
126101,29.45
126102,29.419081
126110,29.3402222
126111,26.955
126112,32.35
126113,75.9966111
126114,29.5902777
126115,28.3
126116,25.3
126125,29.45
126152,29.5902777
127021,28.7752
127022,28.4614
127025,28.7784
127026,28.5997
127027,28.8837
127028,28.6296
127029,28.6995
127030,28.6358
127031,28.862
127032,28.9449
127035,28.9639
127040,28.8725
127041,28.9734
127042,28.7129
127043,28.7218
127045,28.9648
127046,28.9084
127111,28.8199
127114,28.828
127201,28.4267
127306,28.5921
127307,28.6745
127308,28.5094
127309,28.7084
127310,28.5216
127311,28.7158
127312,28.5074
131001,29.00770835
131021,28.96
131022,21.15
131023,29.05
131024,29.06
131027,29.03
131028,29.05
131029,28.98
131030,28.4391
131039,29.02
131101,29.13
131102,29.04
131103,28.88
131301,29.13
131302,29.18
131304,29.14
131305,29.2
131306,29.2
131402,28.87
131403,28.9926944
131408,28.98
131409,29.44
132001,29.6923611
132022,29.7176111
132023,29.6874444
132024,29.3959722
132036,28.98104145
132037,29.3959722
132039,100.0
132040,100.0
132041,29.5902777
132046,75.9966111
132054,100.0
132101,33.69
132102,33.345
132103,29.3884167
132104,27.255000000000003
132105,32.3
132106,36.39
132107,26.4
132108,25.3
132113,25.3
132114,27.12
132115,29.40824995
132116,75.9966111
132117,29.3959722
132122,29.5902777
132140,25.6
132145,27.4051111
132157,29.3959722
133001,30.3418611
133004,30.2802325
133005,30.3774884
133006,30.3325556
133008,30.378179
133010,28.572633
133101,30.338975
133102,30.251419
133103,30.20622
133104,30.34284445
133201,30.221662
133202,30.2455
133203,30.29995
133204,30.378
133205,30.1794817
133206,30.316
133207,30.2674976
133301,30.7742777
133302,30.378188
134003,30.38258335
134005,30.38425
134007,30.3874
134008,30.378184
134101,30.7827222
134102,30.745941350000003
134103,30.6343333
134104,30.7826389
134105,30.38425
134107,30.7238333
134108,30.7064167
134109,30.689097
134112,30.6571767
134113,30.680925000000002
134114,30.7212222
134116,30.565659
134117,30.6691944
134118,29.36695
134201,30.4435595
134202,30.4234973
134203,30.488596
134204,30.5697
134205,30.378186
135001,30.1339444
135002,30.3781838
135003,30.205886
135004,30.0835
135021,30.3781879
135101,30.2829592
135102,30.378
135103,30.3009
135106,30.3781868
135133,30.043627
136020,29.875369
136021,29.846383
136026,29.762047
136027,29.799859
136030,29.93617
136033,29.799859
136034,29.799859
136035,30.038024
136038,29.5702778
136042,29.802463
136043,29.670538
136044,29.57595
136117,29.674897
136118,29.9724195
136119,29.955549
136128,29.981417
136129,30.115686
136130,29.973217
136131,29.973217
136132,29.987047
136134,29.9695
136135,29.973217
136136,30.166519
136156,30.084325
140001,30.95491665
140101,30.692051
140102,30.9666111
140103,30.9666111
140108,30.692051
140109,30.92340275
140110,30.692051
140111,30.7246755
140112,30.9666111
140113,30.9666111
140114,30.9666111
140115,30.78626385
140116,30.9666111
140117,30.9666111
140118,30.9641505
140119,30.692051
140123,30.9666111
140124,30.692051
140125,30.692051
140126,30.9666111
140127,30.9666111
140128,30.9666111
140133,30.9666111
140201,30.692051
140301,30.9666111
140306,30.692051
140307,30.9666111
140308,30.692051
140401,30.4859722
140402,30.49
140405,30.576
140406,30.6159166
140407,30.6480833
140408,30.63
140412,30.71
140413,30.9666111
140417,30.4366111
140501,30.692051
140506,30.692051
140507,30.692051
140601,30.55
140602,30.58
140603,30.692051
140604,30.6703333
140701,30.40219445
140702,30.3319444
140802,30.770000000000003
140901,30.692051
141001,30.91
141002,30.868222199999998
141003,30.891666649999998
141004,30.9023889
141006,30.8589167
141007,30.96
141008,30.9184167
141010,30.8975666
141011,
141012,30.8803889
141013,30.8660472
141014,30.868909700000003
141015,30.927612500000002
141016,30.848
141017,30.846
141101,30.8414722
141102,30.86270705
141103,30.8004756
141104,31.32844055
141105,30.7525916
141106,30.7642861
141107,30.725007
141108,30.686929
141109,30.642549
141110,30.913455499999998
141112,30.898363500000002
141113,30.8473046
141114,30.8311015
141115,30.9594205
141116,30.8352845
141117,30.68464755
141118,30.70701
141119,30.6344611
141120,30.842187799999998
141121,30.9191079
141122,30.8392222
141123,30.869595599999997
141125,31.351025049999997
141126,30.89107
141127,30.823303850000002
141201,30.7623611
141202,30.7559533
141203,30.7626277
141204,30.649053000000002
141205,30.674987
141206,30.7807138
141401,30.7029167
141411,30.72
141412,30.720815
141413,30.6917777
141414,30.6692778
141415,30.598655
141416,30.730128999999998
