,org_pin,dst_pin,po_del,len,wid,dep,vol_wt,act_wt,obj_cost,service,period,price,gstPer,basePrice,gst,charge_wt,min_price,eddDays,org_state,org_lat,org_long,org_hasMetroCity,org_isSpecialDest,org_po_del,dst_state,dst_lat,dst_long,dst_hasMetroCity,dst_isSpecialDest,dst_po_del
7342,522304,495334,1,36.7,30.0,28.9,6363,3389,19479,AIR CARGO,8 - 9 Day/s,1400,18,1400,214,6364,1400,9,ANDHRAPRADESH,16.27963889,80.74005556,0,0,True,CHHATTISGARH,22.068542,81.6617225,0,0,True
7343,147002,495334,1,55.0,45.0,41.0,20295,11101,2565,GROUND EXPRESS,7 - 8 Day/s,2750,18,2750,419,21364,2750,8,PUNJAB,30.3500139,76.44208335,0,0,False,CHHATTISGARH,22.068542,81.6617225,0,0,True
7344,495334,522304,1,36.7,30.0,28.9,6363,3389,19479,AIR CARGO,6 - 7 days,1400,18,1400,214,6364,1400,7,CHHATTISGARH,22.068542,81.6617225,0,0,True,ANDHRAPRADESH,16.27963889,80.74005556,0,0,True
7345,786005,522304,1,30.0,30.0,10.0,1800,2134,6051,PREMIUM,5 Day/s,1360,18,1360,207,2134,1360,5,ASSAM,27.1059,95.0143,0,1,True,ANDHRAPRADESH,16.27963889,80.74005556,0,0,True
7346,440025,534005,0,48.1,40.4,38.9,15118,7920,19398,GROUND EXPRESS,5 - 6 Day/s,2000,18,2000,305,15915,2000,6,MAHARASHTRA,21.11063889,79.06097222,1,0,False,ANDHRAPRADESH,16.718361100000003,81.10900000000001,0,0,False
7347,612901,534005,0,17.7,10.1,10.1,361,239,550,STD EXP-A,3 - 4 Day/s,120,18,120,18,362,120,4,TAMILNADU,11.19,79.44455554999999,1,0,True,ANDHRAPRADESH,16.718361100000003,81.10900000000001,0,0,False
7348,521121,534005,0,30.0,30.0,10.0,1800,1187,16169,GROUND EXPRESS,1 - 2 Day/s,195,18,195,30,1895,195,2,ANDHRAPRADESH,16.02008333,80.91555556,0,0,True,ANDHRAPRADESH,16.718361100000003,81.10900000000001,0,0,False
7349,638453,534005,1,17.7,10.1,10.1,361,445,12775,STD EXP-A,3 - 4 Day/s,120,18,120,18,445,120,4,TAMILNADU,11.495881,77.405351,1,0,True,ANDHRAPRADESH,16.718361100000003,81.10900000000001,0,0,False
7350,786007,502284,1,41.7,35.9,36.9,11048,4652,3966,GROUND EXPRESS,10 - 11 Day/s,1500,18,1500,229,11630,1500,11,ASSAM,27.1,95.22,0,1,True,TELANGANA,17.59,78.12,1,0,True
7351,502284,786007,1,41.7,35.9,36.9,11048,4652,3966,GROUND EXPRESS,9 - 10 Day/s,2040,18,2040,311,11630,2040,10,TELANGANA,17.59,78.12,1,0,True,ASSAM,27.1,95.22,0,1,True
7352,732139,423105,1,41.7,35.9,36.9,11048,8691,4207,GROUND EXPRESS,7 - 8 Day/s,1500,18,1500,229,11630,1500,8,WESTBENGAL,25.011173,88.141133,1,0,True,MAHARASHTRA,20.5905,74.67396,1,0,True
7353,602002,423105,1,10.16,10.16,3.81,70,546,15892,STD EXP-A,5 - 6 Day/s,325,18,325,50,546,325,6,TAMILNADU,13.101528,79.9129635,1,0,True,MAHARASHTRA,20.5905,74.67396,1,0,True
7354,423105,732139,1,41.7,35.9,36.9,11048,8691,4207,GROUND EXPRESS,7 - 8 Day/s,1500,18,1500,229,11630,1500,8,MAHARASHTRA,20.5905,74.67396,1,0,True,WESTBENGAL,25.011173,88.141133,1,0,True
7355,423105,602002,1,10.16,10.16,3.81,70,546,15892,STD EXP-A,4 - 5 Day/s,325,18,325,50,546,325,5,MAHARASHTRA,20.5905,74.67396,1,0,True,TAMILNADU,13.101528,79.9129635,1,0,True
