,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude,LatitudeNum,Latitide_upt,Latitide_diff
43002,Delhi Circle,DivReportingCircle,Delhi North Division,Naya Bans BO,110082,BO,Delivery,NORTH,DELHI,28.7721666,77.1190000,28.7721666,77.119,-48.3468334
43142,Bihar Circle,DivReportingCircle,Vaishali Division,Rasalpur Fatah BO,844122,BO,Delivery,VAISHALI,BIHAR,25.6737460,85.3655630,25.673746,85.391459,-59.717712999999996
43143,Bihar Circle,DivReportingCircle,Vaishali Division,Salempur Dumaria BO,844122,BO,Delivery,VAISHALI,BIHAR,25.6737460,85.3655630,25.673746,85.391459,-59.717712999999996
43144,Bihar Circle,DivReportingCircle,Vaishali Division,Ababakarpur  Kowahi BO,843114,BO,Delivery,VAISHALI,BIHAR,85.2088000,25.7957000,85.2088,25.7957,59.4131
43146,Bihar Circle,DivReportingCircle,Vaishali Division,Rikhar BO,844123,BO,Delivery,VAISHALI,BIHAR,25.9046150,85.2506030,25.904615,85.250603,-59.345988
43147,Bihar Circle,DivReportingCircle,Vaishali Division,Sahtha BO,844123,BO,Delivery,VAISHALI,BIHAR,25.6737460,85.3655630,25.673746,85.250603,-59.576857
43225,Bihar Circle,DivReportingCircle,Vaishali Division,Basara BO,844124,BO,Delivery,VAISHALI,BIHAR,25.7409840,85.3360990,25.740984,85.336099,-59.59511500000001
43226,Bihar Circle,DivReportingCircle,Vaishali Division,Nainha BO,844124,BO,Delivery,VAISHALI,BIHAR,25.7409840,85.3360990,25.740984,85.336099,-59.59511500000001
43229,Bihar Circle,DivReportingCircle,Vaishali Division,Chakaiya BO,844126,BO,Delivery,VAISHALI,BIHAR,85.4614340,25.7995750,85.461434,25.799575,59.66185899999999
43230,Bihar Circle,DivReportingCircle,Vaishali Division,Gara Urf Govindpur Devi BO,844126,BO,Delivery,VAISHALI,BIHAR,85.4614340,25.7995750,85.461434,25.799575,59.66185899999999
44272,Odisha Circle,DivReportingCircle,Balasore Division,Mahatipur B.O,756048,BO,Delivery,BALESHWAR,ODISHA,86.5016462,86.5016462,86.5016462,21.3068535,65.1947927
45124,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Khaje Itwar Sarai BO,803118,BO,Delivery,NALANDA,BIHAR,26.5000000,82.8400000,26.5,77.04,-50.540000000000006
45125,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Moratalab BO,803118,BO,Delivery,NALANDA,BIHAR,25.2600000,85.5200000,25.26,77.04,-51.78
45137,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Bakawa BO,803306,BO,Delivery,PATNA,BIHAR,25.3900000,85.9200000,25.39,85.81,-60.42
45143,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Prahladpur BO,803306,BO,Delivery,PATNA,BIHAR,25.3500000,85.8100000,25.35,85.81,-60.46
45144,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,Samya Kurmichak BO,803306,BO,Delivery,PATNA,BIHAR,25.3500000,85.8100000,25.35,85.81,-60.46
45284,Madhya Pradesh Circle,Indore Region,Indore Moffusil Division,Kunjrota B.O,454116,BO,Delivery,DHAR,MADHYA PRADESH,11.0426930,76.0839670,11.042693,27.09441,-16.051717
45436,Karnataka Circle,South Karnataka Region,Chitradurga Division,Gowrasamudra B.O,577529,BO,Delivery,CHITRADURGA,KARNATAKA,14.5584150,76.7455560,14.558415,51.154541,-36.596126
45437,Karnataka Circle,South Karnataka Region,Chitradurga Division,Konasagara B.O,577529,BO,Delivery,CHITRADURGA,KARNATAKA,14.6114550,76.7214270,14.611455,51.154541,-36.543086
45518,Madhya Pradesh Circle,Indore Region,Indore Moffusil Division,Bola B.O,454111,BO,Delivery,DHAR,MADHYA PRADESH,45.9654040,18.5166170,45.965404,22.616307,23.349097
45920,Madhya Pradesh Circle,Indore Region,Ujjain Division,Uchod B.O,465223,BO,Delivery,SHAJAPUR,MADHYA PRADESH,44.5263420,109.0565300-,44.526342,23.422555,21.103787
