iter	RMSE
219	0.2555668955
220	0.2554615354
221	0.2552633042
222	0.2548630927
223	0.2545826499
224	0.2541241944
225	0.2539402959
226	0.2538068871
227	0.2536373732
228	0.2531038346
229	0.252865425
230	0.2527738678
231	0.252630763
232	0.2525073049
233	0.2518879075
234	0.2516635083
235	0.2515322014
236	0.2513464667
237	0.2511163538
238	0.2507830331
239	0.2505257406
240	0.2502942257
241	0.2500396083
242	0.2498983189
243	0.2495208643
244	0.2492106707
245	0.2490449824
246	0.2488746604
247	0.248659619
248	0.2484414708
249	0.2482800037
250	0.2481682468
251	0.2479119782
252	0.247628703
253	0.2473990725
254	0.2472044273
255	0.2470051032
256	0.2468393518
257	0.2467329602
258	0.2466225003
259	0.2465063122
260	0.2463996248
261	0.2461596493
262	0.2460579377
263	0.2458960249
264	0.245802273
265	0.245628446
266	0.2451932534
267	0.2449859316
268	0.2446533897
269	0.2445647397
270	0.2444293527
271	0.2442627729
272	0.2441398645
273	0.243863991
274	0.2435956
275	0.2433301353
276	0.2431439644
277	0.2430018476
278	0.2427749594
279	0.2425653607
280	0.2424156589
281	0.2422957601
282	0.2421943584
283	0.241998639
284	0.2418722849
285	0.2417694931
286	0.2414680401
287	0.2413255303
288	0.2412286161
289	0.2408638329
290	0.2407114103
291	0.2404105534
292	0.2402615805
293	0.2400580989
294	0.2398984809
295	0.2396257878
296	0.2395287947
297	0.2393615601
298	0.2391492319
299	0.2390530269
300	0.2388665592
301	0.2387193497
302	0.2386308771
303	0.238516175
304	0.2384007104
305	0.2382297841
306	0.2380957327
307	0.2379636771
308	0.2377967085
309	0.2376907069
310	0.2376055236
311	0.2374442202
312	0.2373196819
313	0.2370955826
314	0.2369433122
315	0.2366266123
316	0.2365211247
317	0.2363779681
318	0.2362904011
319	0.2361971787
320	0.2360687133
321	0.2359289139
322	0.2358092633
323	0.2357293665
324	0.2355652251
325	0.2353982483
326	0.2351712152
327	0.2349353416
328	0.23472408
329	0.2346268866
330	0.2345122369
331	0.234439753
332	0.2343446653
333	0.2342293631
334	0.2340862627
335	0.2338352782
336	0.233775621
337	0.2337047829
338	0.2335702001
339	0.233489392
340	0.2334092643
341	0.2332488034
342	0.2331067624
343	0.2329136105
344	0.2327874133
345	0.2325887538
346	0.2324799069
347	0.2323801425
348	0.2322683893
349	0.2321919835
350	0.2320867949
351	0.2319493387
352	0.2318330901
353	0.2317160916
354	0.2316229701
355	0.2315256785
356	0.2313694855
357	0.2311891309
358	0.2310601298
359	0.2309337171
360	0.230815837
361	0.2306681509
362	0.2305720556
363	0.2304540929
364	0.23038126
365	0.2302014782
366	0.230064572
367	0.2299303404
368	0.229771955
369	0.2296187943
370	0.2295507497
371	0.2292723952
372	0.2291320058
373	0.229048446
374	0.2289843836
375	0.2288925316
376	0.2287132347
377	0.228565297
378	0.2283365932
379	0.2282080335
380	0.2281274092
381	0.2279973804
382	0.227902014
383	0.2277914341
384	0.2276744574
385	0.2275143206
386	0.2273469613
387	0.2272599373
388	0.2271383585
389	0.2270212792
390	0.2269531985
391	0.2268513978
392	0.2267186651
393	0.2265887915
394	0.2265161658
395	0.2263894586
396	0.2262795433
397	0.2261596279
398	0.2260322632
399	0.2258448434
400	0.2257705328
401	0.2257040146
402	0.2254828831
403	0.2254289927
404	0.2253541884
405	0.2252523637
406	0.2251503933
407	0.2250500809
408	0.2249341321
409	0.2248700809
410	0.2247459939
411	0.2246384784
412	0.2245462746
413	0.2244719657
414	0.2243867052
415	0.2243217189
416	0.2242290141
417	0.2241065196
418	0.2240253612
419	0.2239279999
420	0.2238507164
421	0.2237856858
422	0.223713051
423	0.2235998551
424	0.2235075237
425	0.2233700791
426	0.2230943818
427	0.2230421186
428	0.2229868109
429	0.222871552
430	0.2227870972
431	0.2227070719
432	0.2226248739
433	0.2225438073
434	0.2224587596
435	0.2223958474
436	0.2222895118
437	0.2222267654
438	0.2221096061
439	0.2217292245
440	0.2216309028
441	0.221502006
442	0.2214522868
443	0.2213633447
444	0.2212916
445	0.2211977553
446	0.2211342712
447	0.2211005272
448	0.221018021
449	0.2208949673
450	0.2207749115
451	0.2207038233
452	0.2206125842
453	0.2205193756
454	0.2204022612
455	0.220330663
456	0.2201352974
457	0.2200826891
458	0.2199898474
459	0.2199245848
460	0.2198532449
461	0.2197965418
462	0.2197367429
463	0.2196894795
464	0.2196109603
465	0.2195642331
466	0.2193858382
467	0.2193356261
468	0.2192109048
469	0.219129455
470	0.2190573326
471	0.2190090337
472	0.2189440518
473	0.2188655013
474	0.2188029639
475	0.2187692395
476	0.2187226835
477	0.2186553888
478	0.2186094913
479	0.2184978897
480	0.2184120916
481	0.2183713492
482	0.2183503755
483	0.2182441311
484	0.2180867763
485	0.2179581923
486	0.2177580939
487	0.2177009694
488	0.2176410803
489	0.2175774518
490	0.2174511599
491	0.2173911253
492	0.217314799
493	0.2172349267
494	0.2170076973
495	0.216945075
496	0.2168899525
497	0.2168418406
498	0.2167542272
499	0.2167204324
500	0.2166400725
501	0.2165770514
502	0.2164221525
503	0.2163174559
504	0.2162179064
505	0.21613218
506	0.216113059
507	0.2160006894
508	0.2159394742
509	0.2158752942
510	0.215822204
511	0.2157417588
512	0.215668111
513	0.2156005295
514	0.2155416209
515	0.215423353
516	0.2153410169
517	0.2152407133
518	0.2151671286
519	0.2149485379
520	0.2148957435
521	0.2147902563
522	0.2147616268
523	0.2146738386
524	0.2146067558
525	0.2144993711
526	0.214407057
527	0.2143450336
528	0.2142697074
529	0.2141426723
530	0.2140279169
531	0.2139778659
532	0.2139003913
533	0.2137725523
534	0.2135402439
535	0.2134997324
536	0.2134334681
537	0.2133014252
538	0.2132202914
539	0.2130671518
540	0.212997535
541	0.2129631269
542	0.2128864425
543	0.2128172262
544	0.2127523492
545	0.2126979144
546	0.2126271847
547	0.212593202
548	0.2124979628
549	0.2123957406
550	0.2123341578
551	0.2122801319
552	0.2122031186
553	0.2121381033
554	0.2119406835
555	0.2118687428
556	0.211808355
557	0.2117153471
558	0.2116234741
559	0.2115529776
560	0.211505322
561	0.2114337617
562	0.2113504021
563	0.2112792862
564	0.2112336439
565	0.211190706
566	0.2111290459
567	0.2110358116
568	0.2109655198
569	0.2108950269
570	0.2108235015
571	0.2107448718
572	0.2106979338
573	0.2106229208
574	0.2105795147
575	0.2105235772
576	0.2104495157
577	0.2103843598
578	0.210339404
579	0.2102875411
580	0.210167669
581	0.2100776263
582	0.2100086246
583	0.2099353185
584	0.2098275635
585	0.2097373033
586	0.2096749691
587	0.2096255067
588	0.2095847089
589	0.2095383981
590	0.2094843788
591	0.2094692047
592	0.2092941117
593	0.2092561464
594	0.2092118073
595	0.2090845845
596	0.2090192223
597	0.2089692106
598	0.2089319692
599	0.2087683682
600	0.208723211
601	0.2086291119
602	0.2085635124
603	0.2085381309
604	0.2084448765
605	0.208406368
606	0.2083092204
607	0.2082342011
608	0.2081470601
609	0.2080652945
610	0.2080195166
611	0.2079842361
612	0.2079392269
613	0.2078602666
614	0.207731103
615	0.2076498357
616	0.2075959814
617	0.2074960659
618	0.2073793274
619	0.2073374804
620	0.2072499914
621	0.2072215084
622	0.2071691232
623	0.2070796454
624	0.206964125
625	0.2068730001
626	0.2068242946
627	0.2067866425
628	0.2067133685
629	0.2065716799
630	0.2065271212
631	0.2064726679
632	0.2064141486
633	0.2063279744
634	0.2061539644
635	0.2060598624
636	0.2060104451
637	0.2059282902
638	0.2058935265
639	0.2058268401
640	0.2056919576
641	0.2056189623
642	0.2055389645
643	0.2054247681
644	0.2053642729
645	0.2053141999
646	0.2052431887
647	0.2051499332
648	0.2051047923
649	0.2050092926
650	0.2049650479
651	0.2049126377
652	0.2048290222
653	0.2047536336
654	0.2046569412
655	0.2045708198
656	0.2045008275
657	0.2043044519
658	0.2042315162
659	0.204146517
660	0.204077088
661	0.2040052286
662	0.2039608245
663	0.2039172897
664	0.2038734388
665	0.2038364771
666	0.2037863672
667	0.2036986523
668	0.2036590426
669	0.2036249573
670	0.2035704221
671	0.2034246658
672	0.2033542424
673	0.2033008054
674	0.2032429076
675	0.2031461406
676	0.2030886024
677	0.2030479131
678	0.2029667118
679	0.2028888202
680	0.2028334704
681	0.2027779458
682	0.2027217822
683	0.2026505754
684	0.2026172745
685	0.2025591913
686	0.2025059598
687	0.2024354158
688	0.2023951737
689	0.2023552778
690	0.202288012
691	0.2022085828
692	0.2021522857
693	0.2020944438
694	0.2019989501
695	0.2019536566
696	0.2018854419
697	0.2018339249
698	0.2017162423
699	0.2016368961
700	0.2015764792
701	0.2014706004
702	0.2014241432
703	0.2013540585
704	0.2013088337
705	0.2012754098
706	0.2012476067
707	0.2012080425
708	0.2011294155
709	0.2010313483
710	0.2009625379
711	0.2009204426
712	0.2008724076
713	0.2008406433
714	0.200716449
715	0.200624304
716	0.2005367257
717	0.2004798866
718	0.2004397632
719	0.2003288441
720	0.200258671
721	0.2001992967
722	0.2001444683
723	0.2001308764
724	0.2000803016
725	0.1999714856
726	0.1999155859
727	0.1998774719
728	0.1997827341
729	0.1997232109
730	0.1996827823
731	0.199636053
732	0.1995947038
733	0.1995396543
734	0.1995158704
735	0.1994252308
736	0.1993058087
737	0.1992647865
738	0.1991757782
739	0.1991046066
740	0.199029884
741	0.1989632242
742	0.1988903581
743	0.1988475321
744	0.1988187084
745	0.1987085934
746	0.198657183
747	0.198597055
748	0.1984910581
749	0.1984305111
750	0.1984041265
751	0.1983398931
752	0.1983001509
753	0.1982006034
754	0.1981506187
755	0.1981271718
756	0.198077045
757	0.19796286
758	0.1979111323
759	0.1978667178
760	0.1978022852
761	0.1976741259
762	0.1975615955
763	0.1974910167
764	0.1973325491
765	0.1972821894
766	0.1972671732
767	0.1971750818
768	0.1971065965
769	0.1970568886
770	0.1969949841
771	0.1969388825
772	0.1968855822
773	0.196799747
774	0.1967471074
775	0.196721766
776	0.1966424191
777	0.196604505
778	0.1965462797
779	0.1964906605
780	0.1963528066
781	0.1962444706
782	0.1961837108
783	0.1961136966
784	0.1960781241
785	0.1959956886
786	0.1959336046
787	0.1958856493
788	0.195782916
789	0.1957381054
790	0.1956759161
791	0.1956259735
792	0.1955759426
793	0.1954978603
794	0.1953398184
795	0.1952885605
796	0.1952458884
797	0.1951995031
798	0.1951626107
799	0.195148726
800	0.1951217763
801	0.1950300493
802	0.194980071
803	0.1949486765
804	0.1948995286
805	0.1948546938
806	0.1947984356
807	0.194775612
808	0.1947227801
809	0.1946300362
810	0.1945584437
811	0.1945283287
812	0.1944826101
813	0.1944412042
814	0.1943789342
815	0.1943178827
816	0.1942630738
817	0.1942181245
818	0.1941715624
819	0.1941177388
820	0.1940669945
821	0.1939964078
822	0.1939642525
823	0.1939256558
824	0.1938579178
825	0.193763703
826	0.1937218904
827	0.19366506
828	0.1935997732
829	0.1935714824
830	0.1935087824
831	0.1934747194
832	0.1934137012
833	0.1933888941
834	0.1932524134
835	0.1932044343
836	0.1931528395
837	0.1931118412
838	0.1930650866
839	0.19303242
840	0.1929619817
841	0.1929263919
842	0.1928934932
843	0.1928723486
844	0.1928308899
845	0.1927685248
846	0.1927301433
847	0.1926391393
848	0.192573616
849	0.1925290861
850	0.1924560885
851	0.1924074802
852	0.1923360716
853	0.1922651234
854	0.1922109332
855	0.1921432874
856	0.1920980555
857	0.1920282522
858	0.1919966979
859	0.1919478764
860	0.1918684214
861	0.1918153849
862	0.1917485673
863	0.1916914717
864	0.1916141549
865	0.1915561741
866	0.191518488
867	0.1914943711
868	0.1914490907
869	0.1914156601
870	0.1913517133
871	0.191281737
872	0.1912111704
873	0.1911739309
874	0.1911343783
875	0.1910878134
876	0.1910506962
877	0.1909928645
878	0.1909004331
879	0.1908599687
880	0.1908180706
881	0.1907988214
882	0.1907372458
883	0.1906879754
884	0.1906361793
885	0.1906000282
886	0.1905622532
887	0.1905378092
888	0.1904791017
889	0.1904500166
890	0.1904061599
891	0.1903502
892	0.1902920471
893	0.1902559758
894	0.1902308959
895	0.1902000668
896	0.1901603078
897	0.1901277611
898	0.1901103919
899	0.1900384301
900	0.1899500966
901	0.1899102928
902	0.189847466
903	0.1898174824
904	0.1897677329
905	0.1897311371
906	0.1896820054
907	0.1896425847
908	0.1895968913
909	0.1895442832
910	0.1893830766
911	0.1893246322
912	0.1892647461
913	0.1892193181
914	0.1891796046
915	0.1891587001
916	0.1891211579
917	0.1890867203
918	0.1890527637
919	0.18902233
920	0.1889953
921	0.1889401746
922	0.1889108115
923	0.1888187872
924	0.188786017
925	0.1886663686
926	0.1886213505
927	0.1885113319
928	0.1884833455
929	0.188450855
930	0.1884219596
931	0.18835396
932	0.1882732083
933	0.1882226386
934	0.1881970824
935	0.1881292392
936	0.1880823574
937	0.188056523
938	0.1880091155
939	0.1879877957
940	0.1879192269
941	0.1878631329
942	0.1878230798
943	0.1877865904
944	0.1877365364
945	0.1877125071
946	0.1875688941
947	0.187477226
948	0.1874242993
949	0.1873730888
950	0.18733473
951	0.1872708137
952	0.1872011007
953	0.1871538937
954	0.1871294814
955	0.1870858879
956	0.1870525742
957	0.1869796149
958	0.1869245253
959	0.1868573315
960	0.1867896542
961	0.1867263385
962	0.1866614328
963	0.1866228649
964	0.1865813469
965	0.1865333338
966	0.1864669807
967	0.1864463079
968	0.1863916284
969	0.1863316694
970	0.1862884148
971	0.1862455653
972	0.1861723
973	0.1861093182
974	0.1860643547
975	0.1859811734
976	0.1859621349
977	0.1858040664
978	0.1857331972
979	0.1856741283
980	0.1856409344
981	0.1856209146
982	0.1855569179
983	0.1855396467
984	0.1854921964
985	0.1854620645
986	0.1854299347
987	0.1853760576
988	0.1853402701
989	0.1853091726
990	0.1852316615
991	0.1851916554
992	0.1851137994
993	0.1850722934
994	0.1850046142
995	0.1849187478
996	0.184867668
997	0.1848238313
998	0.1847862988
999	0.1847307084
